id,subject_user,recommendation_time,clicked_user,click_time
1,950c8148b4c7703590bbe92d54ca1ef7,"7:55 20 Apr 2018",,
2,950c8148b4c7703590bbe92d54ca1ef7,"7:55 20 Apr 2018",,
3,950c8148b4c7703590bbe92d54ca1ef7,"7:56 20 Apr 2018",,
5,950c8148b4c7703590bbe92d54ca1ef7,"7:59 20 Apr 2018",,
6,950c8148b4c7703590bbe92d54ca1ef7,"8:02 20 Apr 2018",,
7,950c8148b4c7703590bbe92d54ca1ef7,"8:08 20 Apr 2018",,
8,950c8148b4c7703590bbe92d54ca1ef7,"8:13 20 Apr 2018",,
9,950c8148b4c7703590bbe92d54ca1ef7,"8:14 20 Apr 2018",,
10,950c8148b4c7703590bbe92d54ca1ef7,"8:23 20 Apr 2018",,
11,950c8148b4c7703590bbe92d54ca1ef7,"8:26 20 Apr 2018",,
12,950c8148b4c7703590bbe92d54ca1ef7,"8:31 20 Apr 2018",,
13,950c8148b4c7703590bbe92d54ca1ef7,"8:33 20 Apr 2018",,
14,950c8148b4c7703590bbe92d54ca1ef7,"8:33 20 Apr 2018",,
15,950c8148b4c7703590bbe92d54ca1ef7,"8:38 20 Apr 2018",,
16,950c8148b4c7703590bbe92d54ca1ef7,"8:39 20 Apr 2018",,
17,950c8148b4c7703590bbe92d54ca1ef7,"8:42 20 Apr 2018",,
18,950c8148b4c7703590bbe92d54ca1ef7,"8:46 20 Apr 2018",,
19,950c8148b4c7703590bbe92d54ca1ef7,"8:47 20 Apr 2018",,
20,950c8148b4c7703590bbe92d54ca1ef7,"8:50 20 Apr 2018",,
21,950c8148b4c7703590bbe92d54ca1ef7,"8:53 20 Apr 2018",,
22,950c8148b4c7703590bbe92d54ca1ef7,"8:55 20 Apr 2018",,
23,950c8148b4c7703590bbe92d54ca1ef7,"8:55 20 Apr 2018",,
24,950c8148b4c7703590bbe92d54ca1ef7,"8:56 20 Apr 2018",,
25,950c8148b4c7703590bbe92d54ca1ef7,"8:57 20 Apr 2018",,
26,950c8148b4c7703590bbe92d54ca1ef7,"8:59 20 Apr 2018",,
27,950c8148b4c7703590bbe92d54ca1ef7,"8:59 20 Apr 2018",,
28,3cac40ce4875d335f8d701062327c9ee,"9:01 20 Apr 2018",,
29,950c8148b4c7703590bbe92d54ca1ef7,"9:02 20 Apr 2018",,
30,950c8148b4c7703590bbe92d54ca1ef7,"9:03 20 Apr 2018",,
32,950c8148b4c7703590bbe92d54ca1ef7,"9:05 20 Apr 2018",,
33,950c8148b4c7703590bbe92d54ca1ef7,"9:07 20 Apr 2018",,
34,3cac40ce4875d335f8d701062327c9ee,"9:10 20 Apr 2018",,
35,950c8148b4c7703590bbe92d54ca1ef7,"9:14 20 Apr 2018",,
38,950c8148b4c7703590bbe92d54ca1ef7,"9:15 20 Apr 2018",,
39,950c8148b4c7703590bbe92d54ca1ef7,"9:16 20 Apr 2018",,
40,950c8148b4c7703590bbe92d54ca1ef7,"9:17 20 Apr 2018",,
44,3cac40ce4875d335f8d701062327c9ee,"9:35 20 Apr 2018",,
45,3cac40ce4875d335f8d701062327c9ee,"9:47 20 Apr 2018",,
46,3cac40ce4875d335f8d701062327c9ee,"12:33 20 Apr 2018",,
47,3b56a716ce3ef2b92f6010ab6705d223,"12:43 20 Apr 2018",,
48,0ba3b401737934b2038a8d7e7120cb81,"13:26 20 Apr 2018",,
49,0ba3b401737934b2038a8d7e7120cb81,"13:27 20 Apr 2018",,
50,17bd778759adcf55b45b130e81cfbc26,"14:03 20 Apr 2018",,
